1|1|Sekoita sokeri ja pehmeä voi
1|2|Lisää kananmuna ja vaahdota
1|3|Lisää leivinjauho vehnäjauhoihin
1|4|Sekoita jauhot vaahtoon
1|5|Painele taikina piirakkavuokaan
2|1|Ripottele mustikat piirakkapohjan päälle
2|2|Sekoita sokeri, kermaviili ja kananmuna
2|3|Lisää vanilliinisokeri
2|4|Kaada kermaviiliseos piirakkapohjan päälle
3|1|Sekoita sokeri ja pehmeä voi
3|2|Lisää kananmuna ja vaahdota
3|3|Lisää leivinjauho vehnäjauhoihin
3|4|Sekoita jauhot vaahtoon
3|5|Painele taikina piirakkavuokaan
4|1|Ripottele mustikat piirakkapohjan päälle
4|2|Sekoita sokeri, kermaviili ja kananmuna
4|3|Lisää vanilliinisokeri
4|4|Kaada kermaviiliseos piirakkapohjan päälle
5|1|Sekoita sokeri ja pehmeä voi
5|2|Lisää kananmuna ja vaahdota
5|3|Lisää leivinjauho vehnäjauhoihin
5|4|Sekoita jauhot vaahtoon
5|5|Painele taikina piirakkavuokaan
6|1|Ripottele mustikat piirakkapohjan päälle
6|2|Sekoita sokeri, kermaviili ja kananmuna
6|3|Lisää vanilliinisokeri
6|4|Kaada kermaviiliseos piirakkapohjan päälle
7|1|Sekoita sokeri ja pehmeä voi
7|2|Lisää kananmuna ja vaahdota
7|3|Lisää leivinjauho vehnäjauhoihin
7|4|Sekoita jauhot vaahtoon
7|5|Painele taikina piirakkavuokaan
8|1|Ripottele mustikat piirakkapohjan päälle
8|2|Sekoita sokeri, kermaviili ja kananmuna
8|3|Lisää vanilliinisokeri
8|4|Kaada kermaviiliseos piirakkapohjan päälle
9|1|Sekoita sokeri ja pehmeä voi
9|2|Lisää kananmuna ja vaahdota
9|3|Lisää leivinjauho vehnäjauhoihin
9|4|Sekoita jauhot vaahtoon
9|5|Painele taikina piirakkavuokaan
10|1|Ripottele mustikat piirakkapohjan päälle
10|2|Sekoita sokeri, kermaviili ja kananmuna
10|3|Lisää vanilliinisokeri
10|4|Kaada kermaviiliseos piirakkapohjan päälle
11|1|Sekoita hiiva maitoon
11|2|Lisää kananmunat, suola ja sokeri
11|3|Lisää jauhot ja voi
11|4|Anna kohota
12|1|Lisää riisi, jauheliha, sipuli ja vesi kattilaan
12|2|Paista kunnes riisit kypsyvät
13|1|Jaa taikina n.10 osaan ja muotoile
13|2|Lisää täyte taikinapalojen keskelle
13|3|Taita taikina taskuksi
13|4|Painele taskujen reunat kiinni haarukalla
14|1|Kuumenna öljy kattilassa 175°C
14|2|Paista lihapiirakoita, kunnes molemmat puolet ovat kauniin ruskeita
14|3|Nosta kuivumaan talouspaperille tai ritilälle
